Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Lumayo;DAYDREAM;2021;Single;;https://open.spotify.com/track/1pptXz7MUM2HNWwREg7bdW;
Fallin' 4 U;DAYDREAM;2021;Single;;https://open.spotify.com/track/37ic8YHb6tFmd5j2aMfHjC;
Fallin' 4 U (Dream Version);DAYDREAM;2022;Single;;https://open.spotify.com/track/2KjPP8NMROqq7Yfi8JtN96;
Make Me Better;DAYDREAM;2023;Single;;https://open.spotify.com/track/30Iaqoli8AkDrODEdkoNAa;
STAY STUCK;DAYDREAM;2023;Single;;https://open.spotify.com/track/2Bim4BFqQik4sTwzzbTk6k;
kailan;DAYDREAM;2025;Single;;https://open.spotify.com/track/76hWF0HQoI9s4siFbFL2RF;
