timestamp;song_title;artist;year;album;collaborating_artists;spotify_link;streams;daily_streams;screenshot_path;status;failure_reason
20260208_102228;Huwag Muna Tayong Umuwi;BINI;2022;Feel Good;;https://open.spotify.com/track/7haQq014RoahMX6spW4z1z;67241118;0;D:\dev\SB19\OCR\bini_huwag_muna_tayong_umuwi_2022_screenshot_20260208_104031.png;OK;
20260208_102228;Strings;BINI;2022;Feel Good;;https://open.spotify.com/track/4J20QVGtdAAOYMpb8iY2GG;20093629;0;D:\dev\SB19\OCR\bini_strings_2022_screenshot_20260208_104110.png;OK;
20260208_102228;Lagi (Acoustic Version);BINI;2022;Feel Good;;https://open.spotify.com/track/4o9MuuglWRF9SqZ9hDDHE4;5238528;0;D:\dev\SB19\OCR\bini_lagi_acoustic_version_2022_screenshot_20260208_104148.png;OK;
20260208_102228;Strings (Dance Version);BINI;2022;Feel Good;;https://open.spotify.com/track/2u12rBuVmArXK9N1iGsaIa;3544976;0;D:\dev\SB19\OCR\bini_strings_dance_version_2022_screenshot_20260208_104226.png;OK;
20260208_102228;Karera;BINI;2023;Talaarawan;;https://open.spotify.com/track/1RL9cRcuzCrs75Wb2aq9Op;123001930;0;D:\dev\SB19\OCR\bini_karera_2023_screenshot_20260208_104305.png;OK;
20260208_102228;Pantropiko;BINI;2023;Talaarawan;;https://open.spotify.com/track/03vwhCqyxupZDVEncdnCSc;201835827;0;D:\dev\SB19\OCR\bini_pantropiko_2023_screenshot_20260208_104343.png;OK;
20260208_102228;Super Crush;BINI;2023;Single;;https://open.spotify.com/track/56wTbR92GiVk86sH3KWR34;6289678;0;D:\dev\SB19\OCR\bini_super_crush_2023_screenshot_20260208_104421.png;OK;
20260208_102228;Salamin, Salamin;BINI;2024;Talaarawan;;https://open.spotify.com/track/1iIJtD9hkzw4ZHfR7ND9yb;198550331;0;D:\dev\SB19\OCR\bini_salamin_salamin_2024_screenshot_20260208_104459.png;OK;
20260208_102228;Ang Huling Cha Cha;BINI;2024;Talaarawan;;https://open.spotify.com/track/7Dx27QY6OJmWv4ZSCW9OpF;23550647;0;D:\dev\SB19\OCR\bini_ang_huling_cha_cha_2024_screenshot_20260208_104537.png;OK;
20260208_102228;Na Na Nandito Lang;BINI;2024;Talaarawan;;https://open.spotify.com/track/3iiFRTfSUP34KVekvWoV3F;26494559;0;D:\dev\SB19\OCR\bini_na_na_nandito_lang_2024_screenshot_20260208_104616.png;OK;
20260208_102228;Diyan Ka Lang;BINI;2024;Talaarawan;;https://open.spotify.com/track/7j3FzXqlvcSpe58Ska2tes;20173220;0;D:\dev\SB19\OCR\bini_diyan_ka_lang_2024_screenshot_20260208_104655.png;OK;
20260208_102228;Bata, Kaya Mo!;BINI;2024;Single;PLAYERTWO;https://open.spotify.com/track/4UTORTDvblo2N3PNWifEzp;8414693;0;D:\dev\SB19\OCR\bini_bata_kaya_mo_2024_screenshot_20260208_104733.png;OK;
20260208_102228;Cherry On Top;BINI;2024;BINIverse;;https://open.spotify.com/track/2JniqTObhmaYjn83J6qiED;71873621;0;D:\dev\SB19\OCR\bini_cherry_on_top_2024_screenshot_20260208_104811.png;OK;
20260208_102228;Cherry On Top (BiniMo Remix);BINI;2024;BINIverse;Agnez Mo;https://open.spotify.com/track/0x4uB9NwFEmYrGlUFI9Kci;4334565;0;D:\dev\SB19\OCR\bini_cherry_on_top_binimo_remix_2024_screenshot_20260208_104850.png;OK;
20260208_102228;Blooming;BINI;2024;Single;;https://open.spotify.com/track/52YkZd4cJahDlGxQquQqSa;6190713;0;D:\dev\SB19\OCR\bini_blooming_2024_screenshot_20260208_104929.png;OK;
20260208_102228;Gandang Vitakeratin;BINI;2024;Single;;https://open.spotify.com/track/5tQvi25iQvL5Raxg4rkdEN;5248707;0;D:\dev\SB19\OCR\bini_gandang_vitakeratin_2024_screenshot_20260208_105007.png;OK;
20260208_102228;Hairkada, Ilugay Mo!;BINI;2024;Single;Sunsilk PH;https://open.spotify.com/track/3QK0nqizj5doSadlfkcbL1;1309099;0;D:\dev\SB19\OCR\bini_hairkada_ilugay_mo_2024_screenshot_20260208_105045.png;OK;
20260208_102228;Icon;BINI;2024;Single;;https://open.spotify.com/track/5nqKckFx3jU5JM3bd1EwGB;3737279;0;D:\dev\SB19\OCR\bini_icon_2024_screenshot_20260208_105124.png;OK;
20260208_102228;Laging Fudgee, Fudgee Lagi;BINI;2024;Single;;https://open.spotify.com/track/6Rne3AZj7AcRcrmnKT3nRM;1290873;0;D:\dev\SB19\OCR\bini_laging_fudgee_fudgee_lagi_2024_screenshot_20260208_105201.png;OK;
20260208_102228;Joy To The World;BINI;2024;Single;;https://open.spotify.com/track/0SpVJoztP97waXXnu0GjbL;3498707;0;D:\dev\SB19\OCR\bini_joy_to_the_world_2024_screenshot_20260208_105240.png;OK;
20260208_102228;Our Stories Shine This Christmas;BINI;2024;Single;;https://open.spotify.com/track/5YleyXVovexQBfPTQx6dJt;1949955;0;D:\dev\SB19\OCR\bini_our_stories_shine_this_christmas_2024_screenshot_20260208_105318.png;OK;
20260208_102228;Blink Twice;BINI;2025;BINIverse;;https://open.spotify.com/track/0G2SvoKHnMnoX5UQDCIx51;40611704;0;D:\dev\SB19\OCR\bini_blink_twice_2025_screenshot_20260208_105357.png;OK;
20260208_102228;Zero Pressure;BINI;2025;BINIverse;;https://open.spotify.com/track/4xWZwHrIn5uS3Nft08Rk5O;9990529;0;D:\dev\SB19\OCR\bini_zero_pressure_2025_screenshot_20260208_105435.png;OK;
20260208_102228;Secrets;BINI;2025;BINIverse;eaJ;https://open.spotify.com/track/0hzFVTCkNnMgRrBiTgRuXC;6307699;0;D:\dev\SB19\OCR\bini_secrets_2025_screenshot_20260208_105513.png;OK;
20260208_102228;Out Of My Head;BINI;2025;BINIverse;;https://open.spotify.com/track/6SKjhbUSGDjTPCEGYYonWO;6712074;0;D:\dev\SB19\OCR\bini_out_of_my_head_2025_screenshot_20260208_105551.png;OK;
20260208_102228;Blink Twice (Dos Veces Remix);BINI;2025;Single;Belinda;https://open.spotify.com/track/6SNHfk6CipQOSALhblynof;2758333;0;D:\dev\SB19\OCR\bini_blink_twice_dos_veces_remix_2025_screenshot_20260208_105630.png;OK;
20260208_102228;Blink Twice (Taglish Version);BINI;2025;Single;;https://open.spotify.com/track/12dI6qK0w7Grhim6Gx7Xzx;694765;0;D:\dev\SB19\OCR\bini_blink_twice_taglish_version_2025_screenshot_20260208_105709.png;OK;
20260208_102228;TOP;BINI;2025;Single;;https://open.spotify.com/track/2XZsdeacLnuHfQCetOSIdX;3396541;0;D:\dev\SB19\OCR\bini_top_2025_screenshot_20260208_105748.png;OK;
20260208_102228;OXYGEN;BINI;2025;Single;Orchestra of the Filipino Youth;https://open.spotify.com/track/2rvqMC6SRBCHcwFdMmaHfK;224804;0;D:\dev\SB19\OCR\bini_oxygen_2025_screenshot_20260208_105827.png;OK;
20260208_102228;First Luv;BINI;2025;FLAMES;;https://open.spotify.com/track/0qHbCeNAPB7EaKxWiyaAMP;9725240;0;D:\dev\SB19\OCR\bini_first_luv_2025_screenshot_20260208_105905.png;OK;
20260208_102228;Sweet Tooth;BINI;2025;FLAMES;;https://open.spotify.com/track/4255eE0aWSyfbIWTpIE1qu;4375496;0;D:\dev\SB19\OCR\bini_sweet_tooth_2025_screenshot_20260208_105942.png;OK;
20260208_102228;Paruparo;BINI;2025;FLAMES;;https://open.spotify.com/track/0waZh26XErLP0Za4Dgc3T0;4344236;0;D:\dev\SB19\OCR\bini_paruparo_2025_screenshot_20260208_110021.png;OK;
20260208_102228;Infinity;BINI;2025;FLAMES;;https://open.spotify.com/track/6rKlGBShPmNsQkzvEvdwqq;3830957;0;D:\dev\SB19\OCR\bini_infinity_2025_screenshot_20260208_110058.png;OK;
20260208_102228;Katabi;BINI;2025;FLAMES;;https://open.spotify.com/track/01R8mmP7FyotvSQkjlxK7v;4259279;0;D:\dev\SB19\OCR\bini_katabi_2025_screenshot_20260208_110136.png;OK;
20260208_102228;Bikini;BINI;2025;FLAMES;;https://open.spotify.com/track/03Tt2qPSQKaXMkLtZ3Zwg9;7031869;0;D:\dev\SB19\OCR\bini_bikini_2025_screenshot_20260208_110214.png;OK;
