Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Hany;AJAA;2023;4 U (EP);;https://open.spotify.com/track/3mCED5zZ8Xyu37eKzOiwag;
Best Day Ever;AJAA;2023;4 U (EP);;https://open.spotify.com/track/6khGurnuqWYoLtz1KmZRKC;
Cuppy Cake;AJAA;2023;4 U (EP);;https://open.spotify.com/track/25EtUdRkVBIHYlMAUslpEy;
Torpe;AJAA;2023;4 U (EP);;https://open.spotify.com/track/2mALJel7wbr2GWA5avYaKZ;
BES I LUV U;AJAA;2024;BES I LUV U (Single);;https://open.spotify.com/track/7vMPPOzpPsTcLTyJyHZSTc;
Dedma;AJAA;2025;Dedma (Single);;https://open.spotify.com/track/15wI8vpIJd1z1OXhsn8zAn;
Ako Na;AJAA;2025;Ako Na (Single);;https://open.spotify.com/track/6ynIsBg8epou0LT0LKI5QH;
