artist_name,artist_url,genre
December Avenue,https://open.spotify.com/artist/4qFxP3qN9GsnZDOkAE6x2m,OPM Rock
Parokya Ni Edgar,https://open.spotify.com/artist/2XHTklRsNMOOQT56Zm3WS4,OPM Rock
Eraserheads,https://open.spotify.com/artist/7374lH6kwx9uQATYQ9H3Cp,OPM Rock
Rivermaya,https://open.spotify.com/artist/1ZTdxfZTeztyAgKUJVLxAI,OPM Rock
Sponge Cola,https://open.spotify.com/artist/1tXFYQZSAswt4JLB42lpye,OPM Rock
The Itchyworms,https://open.spotify.com/artist/5cYJYBMg1n71v7cvthr1SO,OPM Rock
IV of Spades,https://open.spotify.com/artist/4k9wp4ipHdA1bu1T4x1ZTG,OPM Rock
Unique Salonga,https://open.spotify.com/artist/30mZI7Hw2MhoarTVYxfyZM,OPM Rock
Orange & Lemons,https://open.spotify.com/artist/1EUmQM6xgUQLUkJVcvSdey,OPM Rock
Silent Sanctuary,https://open.spotify.com/artist/4nGp682WMiKS4X217kPw8C,OPM Rock
Kamikazee,https://open.spotify.com/artist/4GBFKKuwmZUnAJt6nBal7A,OPM Rock
Sandwich,https://open.spotify.com/artist/6baezjDaGyBqrW8xGqw3a5,OPM Rock
Sugarfree,https://open.spotify.com/artist/5I3uAFbAOhuVSKdrcG5mgy,OPM Rock
Chicosci,https://open.spotify.com/artist/1WUdtysXvz9qXuD6toSJqA,OPM Rock
Typecast,https://open.spotify.com/artist/7vbAIeiw0afuAqTiReJItY,OPM Rock
Moonstar88,https://open.spotify.com/artist/2kZThDGZcHl4klYYFk0v8n,OPM Rock
Hale,https://open.spotify.com/artist/6Ww3OMFzCaO33ulKh1LBFN,OPM Rock
Callalily,https://open.spotify.com/artist/4HOEnLufwAqJ2qoJPVnL01,OPM Rock
6cyclemind,https://open.spotify.com/artist/3nZa8vRD64ueq3d0JNYTsl,OPM Rock
Bamboo,https://open.spotify.com/artist/0c7d9V8rjfT6tzojfBfRf5,OPM Rock
Ely Buendia,https://open.spotify.com/artist/5C8exBHLifsjZxzVErjRpn,OPM Rock
Rico Blanco,https://open.spotify.com/artist/6l880dxsvN2x5wiceaG6D0,OPM Rock
Urbandub,https://open.spotify.com/artist/18B9mAtwCLjkXGMlBtH1LZ,OPM Rock
Cueshe,https://open.spotify.com/artist/6Xx1uQPrAF37dtVMKEmvx5,OPM Rock
Mayonnaise,https://open.spotify.com/artist/7lIVjtsgz0y1oRQFBAVNzq,OPM Rock
Autotelic,https://open.spotify.com/artist/3Hvxz2oZPYuo61ChHKcqQI,OPM Rock
Munimuni,https://open.spotify.com/artist/4eKq7eArL96wSQjaaMg9Ic,OPM Indie
Over October,https://open.spotify.com/artist/1hMAGfvamVXuSWBFQRFMeq,OPM Indie
Any Name's Okay,https://open.spotify.com/artist/1CZ6BqSNNDTbyne4SltF0e,OPM Indie
SOS,https://open.spotify.com/artist/6sYQTuRBvPAaQ9Ba5ca1Yc,OPM Indie
The Ransom Collective,https://open.spotify.com/artist/5TPt1cZ847Fr9CWd9vAm7s,OPM Indie
Johnoy Danao,https://open.spotify.com/artist/2zFBNsALb4M2FhKl98wcvd,OPM Indie
Bullet Dumas,https://open.spotify.com/artist/1hFH6NZJrhl0Un65IZxlZH,OPM Indie
Clara Benin,https://open.spotify.com/artist/5ebPSE9YI5aLeZ1Z2gkqjn,OPM Indie
Reese Lansangan,https://open.spotify.com/artist/2JI8ViuZDBybY6Xd9ujUrb,OPM Indie
B.P. Valenzuela,https://open.spotify.com/artist/2JqqCQCcocEQA6NH1fTvSw,OPM Indie
Up Dharma Down,https://open.spotify.com/artist/3wbCeEPAW6po7J46netxMT,OPM Indie
Kitchie Nadal,https://open.spotify.com/artist/4OjU5UP0GFWeniBC82sGBY,OPM Indie
Barbie Almalbis,https://open.spotify.com/artist/6XMiJRtSvw0PYHOBSBEsMg,OPM Indie
Zild,https://open.spotify.com/artist/7BxbcnOfx5r4d53UQl2I1s,OPM Indie
ena mori,https://open.spotify.com/artist/5FW3vzEP2gQB3RQRNmR6ON,OPM Indie
iluna,https://open.spotify.com/artist/1CFjJMSXKmctvTXBA6uQkE,OPM Indie
Fern.,https://open.spotify.com/artist/7KoTRIhjkIQy2L8RjWDpfF,OPM Indie
kiyo,https://open.spotify.com/artist/6gcteR920pLEynlHzjSRYd,OPM Indie
Hev Abi,https://open.spotify.com/artist/4zpGxqF6oI1h3f6Md2v42T,OPM Indie
gins&melodies,https://open.spotify.com/artist/2WzWSpOB41g3gb78Raj6RK,OPM Indie
syd hartha,https://open.spotify.com/artist/3BQ7MYNeB0wMPtHYPWvu1C,OPM Indie
Ogie Alcasid,https://open.spotify.com/artist/1vlz5PDUCNuZJeuJoufQkN,OPM Classic
Gary Valenciano,https://open.spotify.com/artist/0RHiqaoRCsFLPeEuj3OQz4,OPM Classic
Martin Nievera,https://open.spotify.com/artist/4LTJwj8UNLy3ApvH7XUiiq,OPM Classic
Piolo Pascual,https://open.spotify.com/artist/2GqX0GnrKdi6Z2X2OReYOK,OPM Classic
Lea Salonga,https://open.spotify.com/artist/1GlMjIezcLwV3OFlX0uXOv,OPM Classic
Sharon Cuneta,https://open.spotify.com/artist/3I5ONm7nnP1LpvqsnA5dBG,OPM Classic
Jose Mari Chan,https://open.spotify.com/artist/1EHAbA1GMYOfkh9ds9eNfS,OPM Classic
APO Hiking Society,https://open.spotify.com/artist/4RA4PC3WHM9OHZLExirTcU,OPM Classic
VST & Company,https://open.spotify.com/artist/1JygQfeB7OmzophGsgNwSb,OPM Classic
Freddie Aguilar,https://open.spotify.com/artist/7fihhreD4v29FQsWykhCJm,OPM Classic
Rey Valera,https://open.spotify.com/artist/5xWPJKDLLSDaz7K7tSMTFu,OPM Classic
Basil Valdez,https://open.spotify.com/artist/2ctUvNSyw4TfFtQMkBYiKZ,OPM Classic
Noel Cabangon,https://open.spotify.com/artist/2fonBGBLc7lUoikMqms5Zl,OPM Classic
Side A,https://open.spotify.com/artist/31oMMIBDMM2Z1RQO7u8irE,OPM Classic
Aegis,https://open.spotify.com/artist/65kpH75MFCBJhLy7qvVl6A,OPM Classic
True Faith,https://open.spotify.com/artist/6RV3CKY0UJIPKXyGs85Thm,OPM Classic
South Border,https://open.spotify.com/artist/6ZgBJRjJsK1iOJGKGZxEUv,OPM Classic
Freestyle,https://open.spotify.com/artist/0jarApAsbmiCkYhz0590mE,OPM Classic
Gloc-9,https://open.spotify.com/artist/7HJDRQAfEcFiARVehhM6qD,OPM Hip-Hop
Al James,https://open.spotify.com/artist/2G7VQ1kVhVfNagytlousgm,OPM Hip-Hop
Shanti Dope,https://open.spotify.com/artist/6ogIjp0fsbUxlqy9q2rvrT,OPM Hip-Hop
Flow G,https://open.spotify.com/artist/3PDFGpPl4ienSn5Vwisfrh,OPM Hip-Hop
Skusta Clee,https://open.spotify.com/artist/117XFtbZPnCI1EYKjYZWJc,OPM Hip-Hop
Ex Battalion,https://open.spotify.com/artist/2iB7AJhJmkWkkehY9ccB0j,OPM Hip-Hop
O.C. Dawgs,https://open.spotify.com/artist/00xU4wfephkJrjwJPDvfkf,OPM Hip-Hop
Matthaios,https://open.spotify.com/artist/1SrWbIDP84JcSDr0oTBAQw,OPM Hip-Hop
Because,https://open.spotify.com/artist/0n4a5imdLBN24fIrBWoqrv,OPM Hip-Hop
CLR,https://open.spotify.com/artist/6vCnF48qqPHgVMBEvcbgkU,OPM Hip-Hop
Smugglaz,https://open.spotify.com/artist/2FvXtuMlYRrEkSF7kdAfFq,OPM Hip-Hop
Andrew E.,https://open.spotify.com/artist/6TcTgRYJBQzadIFeXXWA3I,OPM Hip-Hop
FrancisM,https://open.spotify.com/artist/1ayiGn4MLc427PozR13p1y,OPM Hip-Hop
fitterkarma,https://open.spotify.com/artist/3tWAXoP37qDPvpAOnj7Zmr,OPM Rock
Rob Deniel,https://open.spotify.com/artist/7dFzqx2qyelGPiBKmdSEOT,OPM Pop
Soapdish,https://open.spotify.com/artist/13VRqzYJxIUpx67aASZADe,OPM Rock
Earl Agustin,https://open.spotify.com/artist/48veLPCIJh5NVQxhyNRKCm,OPM Pop
Amiel Sol,https://open.spotify.com/artist/4iXntje546XRJmmMTjTO7g,OPM Pop
TJ Monterde,https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0,OPM Ballad
HELLMERRY,https://open.spotify.com/artist/4NsbfTEC3nOcc0vOpZ1rRc,OPM Hip-Hop
Calein,https://open.spotify.com/artist/0DpLoyGVbhOHNR3ht2oO9y,OPM Pop
GAT,https://open.spotify.com/artist/0xTKAk89QHQkiahdI2EpOY,P-Pop
AJAA,https://open.spotify.com/artist/20h1G3Vunhb0jDLLBR2yr8,P-Pop
1621,https://open.spotify.com/artist/02NMfOlZLaiwrDvQsZxXOI,P-Pop
Raya,https://open.spotify.com/artist/5znkZQMPvctUwYRfBkzCr7,P-Pop
Cloud 7,https://open.spotify.com/artist/5Lgt6On8CUSHVsY1uCaMPF,P-Pop
VVINK,https://open.spotify.com/artist/4RYaFaZPwHFQpNUr6mW6OW,P-Pop
YARA,https://open.spotify.com/artist/18H73DT2GpH7OqXPORF6Bv,P-Pop
6ENSE,https://open.spotify.com/artist/5zWP5B6WHzJ1ReLCGaK5Yq,P-Pop
YGIG,https://open.spotify.com/artist/04mJjT5cUTgh48V42KlL1U,P-Pop
HORI7ON,https://open.spotify.com/artist/7xuXBG13gHSpdAoXNWQ8Se,P-Pop
CALISTA,https://open.spotify.com/artist/7cIUUo0ieTY3gslI0c3jFR,P-Pop
Pix!e,https://open.spotify.com/artist/1OphYO5LVIkIaCAdRxkeai,P-Pop
New:ID,https://open.spotify.com/artist/5nVspUGQRB4K3f1XxBBtyU,P-Pop
BILIB,https://open.spotify.com/artist/4MLdu0Ny2LOZ6mqqQv28KB,P-Pop
SY•NC,https://open.spotify.com/artist/7sr10u47SZqLx2SQMWEQyO,P-Pop
ASTER,https://open.spotify.com/artist/2Y8WhPDFzsnXoeEscvHOoq,P-Pop
DAYDREAM,https://open.spotify.com/artist/2faj7edIfsj1CYzYFeoaqp,P-Pop
DESTINI,https://open.spotify.com/artist/6tewgoWheDpdFFUrVjlQ6a,P-Pop
