Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Daleng Dale;GAT;2025;Single;;https://open.spotify.com/track/6QBPJkLxYzVXZXf1rzeQbe;
Kembot;GAT;2025;Single;;https://open.spotify.com/track/1vP1a1JlkSkcpnmZUQKERK;
Kakaiba;GAT;2025;Single;;https://open.spotify.com/track/5yA7COJsAGNjgFM7JPCiIJ;
Huwag Ka Nang Humirit;GAT;2025;Single;;https://open.spotify.com/track/2nopgmtv6GxiRyo5refv0V;
Marikit;GAT;2025;Single;;https://open.spotify.com/track/1ZrokMllXGsvAo6krJpKNd;
Rainbow;GAT;2025;Single;;https://open.spotify.com/track/7v6hGhqWxwBy4DW74ZZ0ZN;
Kapag Ngumingiti Ka;GAT;;Single;;https://open.spotify.com/track/6dfyXeLnAt0S7VPFVXYaXR;
